sex,firsttest,subj,look,testpair,trialtype
f,low,E1_1,22.29,first,high
m,low,E1_10,39.73,first,high
m,high,E1_11,53.52,first,high
f,high,E1_12,33.67,first,high
f,high,E1_13,9.36,first,high
f,high,E1_14,26.21,first,high
m,high,E1_15,NA,first,high
f,high,E1_16,5.68,first,high
m,high,E1_17,9.88,first,high
m,high,E1_18,38.14,first,high
f,high,E1_19,22.15,first,high
m,low,E1_2,60,first,high
m,high,E1_20,10.68,first,high
m,low,E1_3,5.41,first,high
f,low,E1_4,7.35,first,high
f,low,E1_5,23.6,first,high
f,low,E1_6,4.99,first,high
m,low,E1_7,5.53,first,high
f,low,E1_8,15.45,first,high
m,low,E1_9,8.59,first,high
f,low,E1_1,7.15,first,low
m,low,E1_10,31.44,first,low
m,high,E1_11,36.5,first,low
f,high,E1_12,60,first,low
f,high,E1_13,8.48,first,low
f,high,E1_14,16.02,first,low
m,high,E1_15,NA,first,low
f,high,E1_16,8.71,first,low
m,high,E1_17,5.18,first,low
m,high,E1_18,10.76,first,low
f,high,E1_19,10.83,first,low
m,low,E1_2,10.54,first,low
m,high,E1_20,5.36,first,low
m,low,E1_3,5.68,first,low
f,low,E1_4,20.23,first,low
f,low,E1_5,10.28,first,low
f,low,E1_6,6.05,first,low
m,low,E1_7,10.54,first,low
f,low,E1_8,5.08,first,low
m,low,E1_9,5.19,first,low
f,low,E1_1,10.55,second,high
m,low,E1_10,6.02,second,high
m,high,E1_11,60,second,high
f,high,E1_12,46.45,second,high
f,high,E1_13,4.5,second,high
f,high,E1_14,NA,second,high
m,high,E1_15,6.9,second,high
f,high,E1_16,5.66,second,high
m,high,E1_17,5.08,second,high
m,high,E1_18,9.86,second,high
f,high,E1_19,22.29,second,high
m,low,E1_2,5.96,second,high
m,high,E1_20,15.37,second,high
m,low,E1_3,4.5,second,high
f,low,E1_4,24.76,second,high
f,low,E1_5,NA,second,high
f,low,E1_6,6.07,second,high
m,low,E1_7,4.67,second,high
f,low,E1_8,6.85,second,high
m,low,E1_9,10.67,second,high
f,low,E1_1,5.88,second,low
m,low,E1_10,7.01,second,low
m,high,E1_11,5.08,second,low
f,high,E1_12,25.72,second,low
f,high,E1_13,4.92,second,low
f,high,E1_14,NA,second,low
m,high,E1_15,8.59,second,low
f,high,E1_16,5.42,second,low
m,high,E1_17,4.91,second,low
m,high,E1_18,5.76,second,low
f,high,E1_19,4.61,second,low
m,low,E1_2,41.71,second,low
m,high,E1_20,5.39,second,low
m,low,E1_3,4.62,second,low
f,low,E1_4,12.93,second,low
f,low,E1_5,NA,second,low
f,low,E1_6,5.34,second,low
m,low,E1_7,5.81,second,low
f,low,E1_8,5.56,second,low
m,low,E1_9,5.26,second,low
f,low,E1_1,7.39,third,high
m,low,E1_10,23.24,third,high
m,high,E1_11,NA,third,high
f,high,E1_12,17.75,third,high
f,high,E1_13,NA,third,high
f,high,E1_14,NA,third,high
m,high,E1_15,16.75,third,high
f,high,E1_16,5.73,third,high
m,high,E1_17,4.92,third,high
m,high,E1_18,19.21,third,high
f,high,E1_19,6.9,third,high
m,low,E1_2,12.63,third,high
m,high,E1_20,4.11,third,high
m,low,E1_3,NA,third,high
f,low,E1_4,11.15,third,high
f,low,E1_5,5.92,third,high
f,low,E1_6,NA,third,high
m,low,E1_7,5.18,third,high
f,low,E1_8,5.72,third,high
m,low,E1_9,16.71,third,high
f,low,E1_1,5.03,third,low
m,low,E1_10,22.4,third,low
m,high,E1_11,NA,third,low
f,high,E1_12,11.25,third,low
f,high,E1_13,NA,third,low
f,high,E1_14,NA,third,low
m,high,E1_15,18.24,third,low
f,high,E1_16,5.32,third,low
m,high,E1_17,4.87,third,low
m,high,E1_18,14.01,third,low
f,high,E1_19,4.59,third,low
m,low,E1_2,6.12,third,low
m,high,E1_20,5.29,third,low
m,low,E1_3,NA,third,low
f,low,E1_4,18.02,third,low
f,low,E1_5,6.12,third,low
f,low,E1_6,NA,third,low
m,low,E1_7,10.69,third,low
f,low,E1_8,4.03,third,low
m,low,E1_9,14.21,third,low
